city_name_eng,hate_crime_log,logvk,logspbsu2,logspbsu1,logspbsu3,logpop,disttopiter,disttomoscow,logwage11,wage,University_exists,lognet11b,fract11b,ldpr_03,protesters_log
Hasavjurt,0,8.54110527038574,0,0.6931471824646,0,4.47733688354492,2157,1530,9.39889240264893,15213,0,10.5715951919556,0.228045329451561,0.00439167488366365,0
Nal'chik,0,10.7093162536621,1.7917594909668,1.3862943649292,1.0986123085022,5.45232534408569,2039,1430,9.67909336090088,11215,1,11.1459293365479,0.457241773605347,0.0582157261669636,0
Baksan,0,7.6797137260437,0,0,0,3.50555729866028,2015,1406,9.33273506164551,11215,0,10.9404945373535,0.0737426802515984,0.00561434682458639,0
Prohladnyj,0,8.90652847290039,0.6931471824646,0.6931471824646,0,4.09600973129272,2024,1410,9.46962261199951,11215,0,11.0224103927612,0.211978733539581,0.0937229469418526,0
Gorno-Altajsk,3.93182563781738,10.1266708374023,0,0,0,3.99083423614502,3464,3134,10.0010223388672,13399,1,11.4444799423218,0.392085880041122,0.11551757901907,3.93182563781738
Jelista,0,10.8639669418335,1.0986123085022,1.3862943649292,1.94591009616852,4.69043016433716,1771,1146,9.61400413513184,7540,1,11.4656381607056,0.495412945747376,0.0591927282512188,0
Petrozavodsk,6.07381248474121,12.1249551773071,2.56494927406311,1.7917594909668,2.19722461700439,5.6479172706604,298.600006103516,696.599975585938,10.1599884033203,15851,1,12.2916288375855,0.25991028547287,0.132461592555046,6.07381248474121
Kostomuksha,0,9.63233470916748,2.7725887298584,0.6931471824646,3.52636051177979,3.49347257614136,515.400024414063,1055,10.4661846160889,15851,0,11.2571258544922,0.316312253475189,0.160316556692123,0
Sortavala,0,9.40491962432861,1.0986123085022,0,0,3.05400109291077,195.5,772.799987792969,9.93561553955078,15851,0,11.2247228622437,0.271574884653091,0.144219547510147,0
Syktyvkar,5.92958927154541,11.8650598526001,2.19722461700439,1.7917594909668,1.7917594909668,5.43415880203247,1123,1004,10.2562198638916,23220,1,12.0915412902832,0.323186010122299,0.136062443256378,5.92958927154541
Vorkuta,0,10.5070381164551,1.3862943649292,0.6931471824646,0.6931471824646,4.47847270965576,1828,1885,10.5626382827759,23220,0,11.4169502258301,0.481008142232895,0.19948972761631,0
Inta,0,9.38521766662598,1.0986123085022,1.0986123085022,2.0794415473938,3.91402101516724,1630,1653,10.2675399780273,23220,0,11.2529239654541,0.26121324300766,0.150422364473343,0
Pechora,0,9.8229284286499,1.0986123085022,0.6931471824646,0.6931471824646,4.06731605529785,1480,1486,10.414213180542,23220,0,11.3131809234619,0.349086701869965,0.153741210699081,0
Sosnogorsk,0,9.3546142578125,0,0,0,3.47506713867188,1298,1258,10.3488464355469,23220,0,11.3119192123413,0.242565348744392,0.162851706147194,0
Usinsk,0,9.81847381591797,1.0986123085022,0,0,3.88773036003113,1514,1555,10.8014307022095,23220,0,11.2699308395386,0.358721017837524,0.155688017606735,0
Uhta,0,10.9326601028442,1.60943794250488,1.0986123085022,1.94591009616852,4.57471084594727,1286,1247,10.5008392333984,23220,1,11.597204208374,0.499579280614853,0.144828841090202,0
Joshkar-Ola,5.99396133422852,11.855507850647,1.0986123085022,1.0986123085022,0,5.51945877075195,1086,641.099975585938,9.73642921447754,10195,1,12.0216293334961,0.259261727333069,0.129819735884666,5.99396133422852
Volzhsk,0,9.83113193511963,0.6931471824646,0,0,4.1255202293396,1153,670.200012207031,9.63821887969971,10195,0,11.2185029983521,0.374720811843872,0.116671107709408,0
Koz'modem'jansk,0,8.85080432891846,0,0,0,3.24259233474731,1032,559.299987792969,9.42189693450928,10195,0,11.1305046081543,0.183672085404396,0.117906555533409,0
