date,doge_price,google_interest,google_interest_musk
2021-01-28T14:17:00Z,-0.484465942204541,-0.431037246456862,26259.8193186416
2021-01-28T14:18:00Z,-0.503618170104885,-0.416659006076112,26283.9828883697
2021-01-28T14:19:00Z,-0.522588172777881,-0.41448013551077,26287.6446223121
2021-01-28T14:20:00Z,-0.519737618973068,-0.393247156685661,26323.3280265945
2021-01-28T14:21:00Z,-0.539942726907268,-0.415018815066353,26286.739336223
2021-01-28T14:22:00Z,-0.542515757947939,-0.423724386479589,26272.1090562794
2021-01-28T14:23:00Z,-0.543911026107967,-0.468414354841676,26197.004652815
2021-01-28T14:24:00Z,-0.564408784444277,-0.466087831224542,26200.9145273308
2021-01-28T14:25:00Z,-0.543166085408508,-0.4606484434518,26210.0557728688
2021-01-28T14:26:00Z,-0.543809162835215,-0.438770989386537,26246.822259781
2021-01-28T14:27:00Z,-0.524036876534546,-0.431098738980724,26259.7159764489
2021-01-28T14:28:00Z,-0.505185021846285,-0.449767451536964,26228.3419886979
2021-01-28T14:29:00Z,-0.524454366191483,-0.445110813567161,26236.1677721945
2021-01-28T14:30:00Z,-0.52392833214016,-0.440148406367201,26244.5074208038
2021-01-28T14:31:00Z,-0.524955098033928,-0.435926000452146,26251.6034490414
2021-01-28T14:32:00Z,-0.544401895420606,-0.459973532810887,26211.1900041725
2021-01-28T14:33:00Z,-0.544130164395873,-0.456688322086753,26216.7110148318
2021-01-28T14:34:00Z,-0.52590191484156,-0.457868666916392,26214.727368444
2021-01-28T14:35:00Z,-0.526241150083204,-0.457380355880059,26215.5480069549
2021-01-28T14:36:00Z,-0.526329784437876,-0.483154918969142,26172.2321744245
2021-01-28T14:37:00Z,-0.52740143609057,-0.483471582934195,26171.7
2021-01-28T14:38:00Z,-0.525811092071118,-0.473362179209326,26188.6895116055
2021-01-28T14:39:00Z,-0.52585303315514,-0.474749538779886,26186.3579634582
2021-01-28T14:40:00Z,-0.525849731729087,-0.464323747528635,26203.879184915
2021-01-28T14:41:00Z,-0.526574702160084,-0.475238684515366,26185.535922181
2021-01-28T14:42:00Z,-0.507285534189382,-0.47397583421639,26187.6582243854
2021-01-28T14:43:00Z,-0.506605787625411,-0.461078898285774,26209.3323654754
2021-01-28T14:44:00Z,-0.48798570944626,-0.466632009669406,26200
2021-01-28T14:45:00Z,-0.48748141972903,-0.462056743511911,26207.6890328645
2021-01-28T14:46:00Z,-0.467224149356029,-0.442501640966266,26240.5526567426
2021-01-28T14:47:00Z,-0.483788453646086,-0.428909308133691,26263.3954576327
2021-01-28T14:48:00Z,-0.448254316175074,-0.427897458201019,26265.0959373684
2021-01-28T14:49:00Z,-0.413149563128502,-0.439236463623083,26246.04
2021-01-28T14:50:00Z,-0.40965427000827,-0.436176498258701,26251.1824711571
2021-01-28T14:51:00Z,-0.410738609565607,-0.425350514335194,26269.3762424729
2021-01-28T14:52:00Z,-0.407045394191196,-0.407467340012675,26299.4300820429
2021-01-28T14:53:00Z,-0.37026876799589,-0.414230262893483,26288.0645495251
2021-01-28T14:54:00Z,-0.368615212167611,-0.414696345973489,26287.281266543
2021-01-28T14:55:00Z,-0.334868517989994,-0.414307121670937,26287.9353833421
2021-01-28T14:56:00Z,-0.313457140989699,-0.422636209080672,26273.937809295
2021-01-28T14:57:00Z,-0.308175345294987,-0.421246650412805,26276.2730531686
2021-01-28T14:58:00Z,-0.309209350326165,-0.402728246021964,26307.3944382548
2021-01-28T14:59:00Z,-0.349282193576603,-0.414541832559342,26287.5409364023
2021-01-28T15:00:00Z,-0.350250949433596,-0.423466469184188,26272.5425030981
2021-01-28T15:01:00Z,-0.310969799971816,-0.416376493448268,26284.457669247
2021-01-28T15:02:00Z,-0.288831564973646,-0.413149915391719,26289.8801438884
2021-01-28T15:03:00Z,-0.269228502229497,-0.379204009912438,26346.9284496832
2021-01-28T15:04:00Z,-0.264985731418596,-0.356179259926614,26385.6230421383
2021-01-28T15:05:00Z,-0.263299824162914,-0.317190229320338,26451.1466482777
2021-01-28T15:06:00Z,-0.284119343123455,-0.334143914008594,26422.654876596
2021-01-28T15:07:00Z,-0.267088496588452,-0.368721274671306,26364.545369225
2021-01-28T15:08:00Z,-0.270139804154669,-0.406923204970472,26300.3445364327
2021-01-28T15:09:00Z,-0.273039358763531,-0.450876654612609,26226.4779006627
2021-01-28T15:10:00Z,-0.275258221989978,-0.491572161963823,26158.0864491734
2021-01-28T15:11:00Z,-0.295183338343558,-0.478372732822007,26180.2689498128
2021-01-28T15:12:00Z,-0.293749943819603,-0.465388903140176,26202.089121513
2021-01-28T15:13:00Z,-0.276901234208782,-0.470707397548097,26193.151045151
2021-01-28T15:14:00Z,-0.275970529597341,-0.463231190171407,26205.7152987359
2021-01-28T15:15:00Z,-0.274786339460921,-0.460013314395329,26211.123148628
2021-01-28T15:16:00Z,-0.271519743333245,-0.436724784476294,26250.2610404466
2021-01-28T15:17:00Z,-0.272725364785471,-0.446028996555513,26234.6247058613
2021-01-28T15:18:00Z,-0.251803028780168,-0.443128361759964,26239.4994116168
2021-01-28T15:19:00Z,-0.251680598140358,-0.404326333273042,26304.7087485111
2021-01-28T15:20:00Z,-0.248290265313244,-0.389420132607596,26329.7595898952
2021-01-28T15:21:00Z,-0.24183233234142,-0.329149581871153,26431.0481771427
2021-01-28T15:22:00Z,-0.24364231994386,-0.329623930410896,26430.251003517
2021-01-28T15:23:00Z,-0.245735181624275,-0.33704465046072,26417.78
2021-01-28T15:24:00Z,-0.245586526021873,-0.338064824573733,26416.0655309369
2021-01-28T15:25:00Z,-0.244983241020624,-0.328342334621473,26432.4048087394
2021-01-28T15:26:00Z,-0.225598864829532,-0.304241557909246,26472.9077342133
2021-01-28T15:28:00Z,-0.188325521103265,-0.307756883814326,26467
2021-01-28T15:29:00Z,-0.188643953363013,-0.34524427306103,26404
2021-01-28T15:30:00Z,-0.208237075631015,-0.326203059475402,26436
2021-01-28T15:31:00Z,-0.189508269496615,-0.339888931740072,26413
2021-01-28T15:32:00Z,-0.18773414690659,-0.332153438720911,26426
2021-01-28T15:33:00Z,-0.187552185615305,-0.307756883814326,26467
2021-01-28T15:34:00Z,-0.227035556713726,-0.311327111361631,26461
2021-01-28T15:35:00Z,-0.208818911534196,-0.354764879853844,26388
2021-01-28T15:36:00Z,-0.211325281578664,-0.402367913817912,26308
2021-01-28T15:37:00Z,-0.232331140534809,-0.396228942437394,26318.31694137
2021-01-28T15:38:00Z,-0.227906063643117,-0.341674045513725,26410
2021-01-28T15:40:00Z,-0.26629904634638,-0.335723666268216,26420
2021-01-28T15:42:00Z,-0.289665079100798,-0.372020979665819,26359
2021-01-28T15:43:00Z,-0.290147537874695,-0.380946548534082,26344
2021-01-28T15:44:00Z,-0.251604761292145,-0.385525819002563,26336.30423763
2021-01-28T15:45:00Z,-0.251343253682367,-0.384516776081387,26338
2021-01-28T15:46:00Z,-0.271449547765432,-0.407128217214319,26300
2021-01-28T15:47:00Z,-0.253725931022402,-0.41426867230893,26288
2021-01-28T15:48:00Z,-0.271832546934991,-0.417838899856235,26282
2021-01-28T15:50:00Z,-0.272768767127245,-0.420219051554438,26278
2021-01-28T15:51:00Z,-0.293158703759502,-0.446995758159227,26233
2021-01-28T15:52:00Z,-0.310634324871668,-0.420219051554438,26278
2021-01-28T15:53:00Z,-0.350097913633904,-0.416648824007133,26284
2021-01-28T15:54:00Z,-0.34938474276645,-0.409508368912523,26296
2021-01-28T15:55:00Z,-0.329829039957543,-0.40058280004426,26311
2021-01-28T15:56:00Z,-0.326197151280692,-0.388087003628692,26332
2021-01-28T15:57:00Z,-0.305662672816246,-0.355359917778394,26387
2021-01-28T15:58:00Z,-0.306443345453048,-0.422599203252642,26274
2021-01-28T16:00:00Z,-0.306961498095762,-0.394632420798751,26321
2021-01-28T16:01:00Z,-0.305046352313508,-0.380351510609531,26345
2021-01-28T16:02:00Z,-0.250435953481595,-0.389998989603504,26328.786783
2021-01-28T16:03:00Z,-0.24853122964218,-0.378464676084488,26348.17094835
2021-01-28T16:05:00Z,-0.289270337449356,-0.378220309087137,26348.58162301
2021-01-28T16:06:00Z,-0.329238538723427,-0.397012572496955,26317
2021-01-28T16:07:00Z,-0.345660406014189,-0.376781283062225,26351
2021-01-28T16:08:00Z,-0.365315160332465,-0.363987736797767,26372.50038802
2021-01-28T16:09:00Z,-0.385913471991838,-0.360715259099352,26378
2021-01-28T16:10:00Z,-0.386409463253565,-0.380183422505539,26345.28248301
2021-01-28T16:11:00Z,-0.367220617886764,-0.380674200860141,26344.45769801
2021-01-28T16:12:00Z,-0.387382026269303,-0.40772325513887,26299
2021-01-28T16:13:00Z,-0.388927572736181,-0.432119810045456,26258
2021-01-28T16:14:00Z,-0.388742397945026,-0.425472617738374,26269.1710397486
2021-01-28T16:15:00Z,-0.38809141512449,-0.42252735489629,26274.1207458439
2021-01-28T16:16:00Z,-0.369779325803612,-0.420661133514488,26277.2570524637
2021-01-28T16:17:00Z,-0.36977241269723,-0.467763779348114,26198.0979873181
2021-01-28T16:18:00Z,-0.39109352987285,-0.471111637649573,26192.4716933235
2021-01-28T16:19:00Z,-0.389533246506501,-0.452086113986452,26224.4453253865
2021-01-28T16:20:00Z,-0.428634979714857,-0.456602085283649,26216.8559413979
2021-01-28T16:21:00Z,-0.430091242820913,-0.468788954294442,26196.3751140288
2021-01-28T16:22:00Z,-0.430569725745013,-0.49543259562404,26151.5987388932
2021-01-28T16:23:00Z,-0.449943533677979,-0.478965127370967,26179.2733921777
2021-01-28T16:24:00Z,-0.468707563807447,-0.489862308936452,26160.9599685859
2021-01-28T16:25:00Z,-0.447968098016074,-0.459574859884232,26211.86
2021-01-28T16:26:00Z,-0.448546035512469,-0.4574393428866,26215.4488754473
2021-01-28T16:27:00Z,-0.447303459679328,-0.45148576895013,26225.4542443336
2021-01-28T16:28:00Z,-0.446627383024031,-0.42419861039096,26271.3120920998
2021-01-28T16:29:00Z,-0.446236848942314,-0.431132268999624,26259.6596270676
2021-01-28T16:30:00Z,-0.465194246072973,-0.419104513831105,26279.8730532582
2021-01-28T16:31:00Z,-0.464780860717695,-0.419187761038958,26279.7331509017
2021-01-28T16:32:00Z,-0.463576246789049,-0.395640096572218,26319.3065352108
2021-01-28T16:33:00Z,-0.440358961378967,-0.37180547292375,26359.3621731207
2021-01-28T16:34:00Z,-0.440598217914004,-0.34026451534409,26412.3688072835
2021-01-28T16:35:00Z,-0.402216476109296,-0.329016339852085,26431.2720990367
2021-01-28T16:36:00Z,-0.384351119107855,-0.318305567454889,26449.2722498763
2021-01-28T16:37:00Z,-0.380501198998747,-0.31625084719504,26452.7253411417
2021-01-28T16:38:00Z,-0.368352255509516,-0.323228514299666,26440.9989169648
2021-01-28T16:39:00Z,-0.324171172548694,-0.322325004497934,26442.5173240519
2021-01-28T16:40:00Z,-0.323930832486489,-0.322394990652398,26442.3997077596
2021-01-28T16:41:00Z,-0.343011275254661,-0.304806145137764,26471.9589085919
2021-01-28T16:42:00Z,-0.324180346985905,-0.29777086187122,26483.7821604827
2021-01-28T16:43:00Z,-0.302359602970564,-0.306368716505904,26469.3329056034
2021-01-28T16:44:00Z,-0.284147319440319,-0.296111566354761,26486.5707147042
2021-01-28T16:45:00Z,-0.260398803593533,-0.281603772254024,26510.9520078994
2021-01-28T16:46:00Z,-0.301702226076792,-0.27369968776568,26524.2353368474
2021-01-28T16:47:00Z,-0.320732895777106,-0.273864823025149,26523.957816285
2021-01-28T16:48:00Z,-0.321026620496179,-0.25699493200443,26552.3087672491
